household_key,decile,decile_action_tier,km_segment,km_action_tier
72,D2,Grow basket or category,1,VIP retention
73,D4,Grow basket or category,3,Low-cost nurture
74,D6,Low-cost nurture,0,Growth: upsell
75,D7,Low-cost nurture,3,Low-cost nurture
76,D10,Suppress expensive offers,4,Behavioral tier 4
77,D2,Grow basket or category,0,Growth: upsell
78,D5,Low-cost nurture,0,Growth: upsell
79,D3,Grow basket or category,1,VIP retention
80,D4,Grow basket or category,1,VIP retention
81,D2,Grow basket or category,0,Growth: upsell
82,D9,Suppress expensive offers,4,Behavioral tier 4
83,D7,Low-cost nurture,0,Growth: upsell
84,D7,Low-cost nurture,3,Low-cost nurture
85,D3,Grow basket or category,1,VIP retention
86,D3,Grow basket or category,3,Low-cost nurture
87,D7,Low-cost nurture,3,Low-cost nurture
88,D1,VIP: retain and reward,1,VIP retention
89,D10,Suppress expensive offers,2,Behavioral tier 5
90,D9,Suppress expensive offers,2,Behavioral tier 5
91,D4,Grow basket or category,1,VIP retention
92,D7,Low-cost nurture,3,Low-cost nurture
93,D4,Grow basket or category,0,Growth: upsell
94,D9,Suppress expensive offers,3,Low-cost nurture
95,D2,Grow basket or category,1,VIP retention
96,D7,Low-cost nurture,4,Behavioral tier 4
97,D2,Grow basket or category,1,VIP retention
98,D5,Low-cost nurture,0,Growth: upsell
99,D2,Grow basket or category,1,VIP retention
100,D5,Low-cost nurture,3,Low-cost nurture
101,D2,Grow basket or category,0,Growth: upsell
102,D10,Suppress expensive offers,2,Behavioral tier 5
103,D9,Suppress expensive offers,4,Behavioral tier 4
104,D2,Grow basket or category,1,VIP retention
105,D3,Grow basket or category,0,Growth: upsell
106,D6,Low-cost nurture,3,Low-cost nurture
107,D7,Low-cost nurture,3,Low-cost nurture
108,D5,Low-cost nurture,3,Low-cost nurture
109,D4,Grow basket or category,0,Growth: upsell
110,D4,Grow basket or category,1,VIP retention
111,D7,Low-cost nurture,3,Low-cost nurture
112,D7,Low-cost nurture,3,Low-cost nurture
113,D1,VIP: retain and reward,1,VIP retention
114,D4,Grow basket or category,1,VIP retention
115,D1,VIP: retain and reward,1,VIP retention
116,D9,Suppress expensive offers,4,Behavioral tier 4
117,D5,Low-cost nurture,0,Growth: upsell
118,D3,Grow basket or category,1,VIP retention
119,D5,Low-cost nurture,3,Low-cost nurture
120,D10,Suppress expensive offers,2,Behavioral tier 5
121,D5,Low-cost nurture,3,Low-cost nurture
122,D5,Low-cost nurture,0,Growth: upsell
123,D4,Grow basket or category,0,Growth: upsell
124,D9,Suppress expensive offers,4,Behavioral tier 4
125,D1,VIP: retain and reward,1,VIP retention
126,D8,Suppress expensive offers,4,Behavioral tier 4
127,D3,Grow basket or category,1,VIP retention
128,D7,Low-cost nurture,3,Low-cost nurture
129,D9,Suppress expensive offers,4,Behavioral tier 4
130,D9,Suppress expensive offers,2,Behavioral tier 5
131,D2,Grow basket or category,1,VIP retention
132,D4,Grow basket or category,0,Growth: upsell
133,D3,Grow basket or category,0,Growth: upsell
134,D2,Grow basket or category,1,VIP retention
135,D9,Suppress expensive offers,0,Growth: upsell
136,D4,Grow basket or category,4,Behavioral tier 4
137,D8,Suppress expensive offers,4,Behavioral tier 4
138,D4,Grow basket or category,0,Growth: upsell
139,D4,Grow basket or category,1,VIP retention
140,D6,Low-cost nurture,4,Behavioral tier 4
141,D9,Suppress expensive offers,3,Low-cost nurture
142,D5,Low-cost nurture,0,Growth: upsell
143,D2,Grow basket or category,1,VIP retention
144,D6,Low-cost nurture,4,Behavioral tier 4
145,D7,Low-cost nurture,4,Behavioral tier 4
146,D8,Suppress expensive offers,4,Behavioral tier 4
147,D7,Low-cost nurture,4,Behavioral tier 4
148,D7,Low-cost nurture,3,Low-cost nurture
149,D1,VIP: retain and reward,1,VIP retention
150,D10,Suppress expensive offers,2,Behavioral tier 5
151,D7,Low-cost nurture,3,Low-cost nurture
152,D7,Low-cost nurture,4,Behavioral tier 4
153,D7,Low-cost nurture,0,Growth: upsell
154,D8,Suppress expensive offers,3,Low-cost nurture
155,D6,Low-cost nurture,3,Low-cost nurture
156,D2,Grow basket or category,1,VIP retention
157,D5,Low-cost nurture,0,Growth: upsell
158,D6,Low-cost nurture,0,Growth: upsell
159,D6,Low-cost nurture,0,Growth: upsell
160,D7,Low-cost nurture,3,Low-cost nurture
161,D2,Grow basket or category,0,Growth: upsell
162,D4,Grow basket or category,0,Growth: upsell
163,D10,Suppress expensive offers,2,Behavioral tier 5
164,D3,Grow basket or category,0,Growth: upsell
165,D4,Grow basket or category,1,VIP retention
166,D4,Grow basket or category,0,Growth: upsell
167,D7,Low-cost nurture,3,Low-cost nurture
168,D9,Suppress expensive offers,3,Low-cost nurture
169,D10,Suppress expensive offers,2,Behavioral tier 5
170,D6,Low-cost nurture,3,Low-cost nurture
171,D9,Suppress expensive offers,4,Behavioral tier 4
172,D6,Low-cost nurture,0,Growth: upsell
173,D10,Suppress expensive offers,2,Behavioral tier 5
174,D7,Low-cost nurture,3,Low-cost nurture
175,D8,Suppress expensive offers,4,Behavioral tier 4
176,D8,Suppress expensive offers,3,Low-cost nurture
177,D8,Suppress expensive offers,3,Low-cost nurture
178,D6,Low-cost nurture,0,Growth: upsell
179,D9,Suppress expensive offers,2,Behavioral tier 5
180,D6,Low-cost nurture,3,Low-cost nurture
181,D6,Low-cost nurture,3,Low-cost nurture
182,D8,Suppress expensive offers,4,Behavioral tier 4
183,D7,Low-cost nurture,0,Growth: upsell
184,D2,Grow basket or category,1,VIP retention
185,D6,Low-cost nurture,3,Low-cost nurture
186,D10,Suppress expensive offers,2,Behavioral tier 5
187,D9,Suppress expensive offers,4,Behavioral tier 4
188,D6,Low-cost nurture,3,Low-cost nurture
189,D8,Suppress expensive offers,3,Low-cost nurture
190,D9,Suppress expensive offers,4,Behavioral tier 4
191,D9,Suppress expensive offers,4,Behavioral tier 4
192,D3,Grow basket or category,0,Growth: upsell
193,D3,Grow basket or category,1,VIP retention
194,D6,Low-cost nurture,3,Low-cost nurture
195,D3,Grow basket or category,1,VIP retention
196,D2,Grow basket or category,1,VIP retention
197,D6,Low-cost nurture,4,Behavioral tier 4
198,D1,VIP: retain and reward,0,Growth: upsell
199,D9,Suppress expensive offers,4,Behavioral tier 4
200,D7,Low-cost nurture,4,Behavioral tier 4
201,D7,Low-cost nurture,4,Behavioral tier 4
202,D8,Suppress expensive offers,3,Low-cost nurture
203,D8,Suppress expensive offers,3,Low-cost nurture
204,D8,Suppress expensive offers,3,Low-cost nurture
205,D4,Grow basket or category,1,VIP retention
206,D10,Suppress expensive offers,2,Behavioral tier 5
207,D8,Suppress expensive offers,3,Low-cost nurture
208,D3,Grow basket or category,1,VIP retention
209,D2,Grow basket or category,1,VIP retention
210,D3,Grow basket or category,1,VIP retention
211,D5,Low-cost nurture,0,Growth: upsell
212,D4,Grow basket or category,0,Growth: upsell
213,D9,Suppress expensive offers,2,Behavioral tier 5
214,D5,Low-cost nurture,0,Growth: upsell
215,D6,Low-cost nurture,0,Growth: upsell
216,D5,Low-cost nurture,0,Growth: upsell
217,D5,Low-cost nurture,3,Low-cost nurture
218,D1,VIP: retain and reward,1,VIP retention
219,D1,VIP: retain and reward,1,VIP retention
220,D5,Low-cost nurture,3,Low-cost nurture
221,D4,Grow basket or category,0,Growth: upsell
222,D2,Grow basket or category,1,VIP retention
223,D5,Low-cost nurture,0,Growth: upsell
224,D7,Low-cost nurture,4,Behavioral tier 4
225,D9,Suppress expensive offers,4,Behavioral tier 4
226,D7,Low-cost nurture,4,Behavioral tier 4
227,D7,Low-cost nurture,4,Behavioral tier 4
228,D5,Low-cost nurture,3,Low-cost nurture
229,D8,Suppress expensive offers,4,Behavioral tier 4
230,D3,Grow basket or category,1,VIP retention
231,D10,Suppress expensive offers,2,Behavioral tier 5
232,D1,VIP: retain and reward,1,VIP retention
233,D9,Suppress expensive offers,4,Behavioral tier 4
234,D10,Suppress expensive offers,2,Behavioral tier 5
235,D1,VIP: retain and reward,1,VIP retention
236,D7,Low-cost nurture,4,Behavioral tier 4
237,D9,Suppress expensive offers,2,Behavioral tier 5
238,D9,Suppress expensive offers,2,Behavioral tier 5
239,D3,Grow basket or category,0,Growth: upsell
240,D10,Suppress expensive offers,4,Behavioral tier 4
241,D10,Suppress expensive offers,2,Behavioral tier 5
242,D2,Grow basket or category,1,VIP retention
243,D1,VIP: retain and reward,1,VIP retention
244,D6,Low-cost nurture,3,Low-cost nurture
245,D7,Low-cost nurture,3,Low-cost nurture
246,D8,Suppress expensive offers,4,Behavioral tier 4
247,D7,Low-cost nurture,3,Low-cost nurture
248,D2,Grow basket or category,1,VIP retention
249,D4,Grow basket or category,0,Growth: upsell
250,D2,Grow basket or category,0,Growth: upsell
251,D5,Low-cost nurture,0,Growth: upsell
252,D10,Suppress expensive offers,2,Behavioral tier 5
253,D1,VIP: retain and reward,1,VIP retention
254,D9,Suppress expensive offers,4,Behavioral tier 4
255,D9,Suppress expensive offers,4,Behavioral tier 4
256,D1,VIP: retain and reward,1,VIP retention
257,D5,Low-cost nurture,0,Growth: upsell
258,D5,Low-cost nurture,0,Growth: upsell
259,D8,Suppress expensive offers,4,Behavioral tier 4
260,D9,Suppress expensive offers,4,Behavioral tier 4
261,D7,Low-cost nurture,3,Low-cost nurture
262,D3,Grow basket or category,0,Growth: upsell
263,D2,Grow basket or category,0,Growth: upsell
264,D6,Low-cost nurture,3,Low-cost nurture
265,D6,Low-cost nurture,4,Behavioral tier 4
266,D4,Grow basket or category,3,Low-cost nurture
267,D10,Suppress expensive offers,2,Behavioral tier 5
268,D8,Suppress expensive offers,4,Behavioral tier 4
269,D6,Low-cost nurture,0,Growth: upsell
270,D8,Suppress expensive offers,3,Low-cost nurture
271,D7,Low-cost nurture,0,Growth: upsell
272,D9,Suppress expensive offers,2,Behavioral tier 5
273,D5,Low-cost nurture,0,Growth: upsell
274,D10,Suppress expensive offers,2,Behavioral tier 5
275,D2,Grow basket or category,1,VIP retention
276,D2,Grow basket or category,1,VIP retention
277,D9,Suppress expensive offers,4,Behavioral tier 4
278,D6,Low-cost nurture,0,Growth: upsell
279,D6,Low-cost nurture,3,Low-cost nurture
280,D5,Low-cost nurture,1,VIP retention
281,D7,Low-cost nurture,0,Growth: upsell
282,D3,Grow basket or category,1,VIP retention
283,D2,Grow basket or category,3,Low-cost nurture
284,D9,Suppress expensive offers,3,Low-cost nurture
285,D3,Grow basket or category,1,VIP retention
286,D7,Low-cost nurture,4,Behavioral tier 4
287,D4,Grow basket or category,0,Growth: upsell
288,D4,Grow basket or category,1,VIP retention
289,D2,Grow basket or category,1,VIP retention
290,D2,Grow basket or category,0,Growth: upsell
291,D5,Low-cost nurture,4,Behavioral tier 4
292,D8,Suppress expensive offers,4,Behavioral tier 4
293,D3,Grow basket or category,0,Growth: upsell
294,D2,Grow basket or category,0,Growth: upsell
295,D10,Suppress expensive offers,4,Behavioral tier 4
296,D10,Suppress expensive offers,2,Behavioral tier 5
297,D4,Grow basket or category,0,Growth: upsell
298,D10,Suppress expensive offers,2,Behavioral tier 5
299,D10,Suppress expensive offers,2,Behavioral tier 5
300,D3,Grow basket or category,0,Growth: upsell
301,D2,Grow basket or category,1,VIP retention
302,D6,Low-cost nurture,3,Low-cost nurture
303,D3,Grow basket or category,0,Growth: upsell
304,D1,VIP: retain and reward,1,VIP retention
305,D3,Grow basket or category,1,VIP retention
306,D2,Grow basket or category,1,VIP retention
307,D5,Low-cost nurture,0,Growth: upsell
308,D5,Low-cost nurture,3,Low-cost nurture
309,D5,Low-cost nurture,4,Behavioral tier 4
310,D10,Suppress expensive offers,3,Low-cost nurture
311,D7,Low-cost nurture,3,Low-cost nurture
312,D5,Low-cost nurture,3,Low-cost nurture
313,D10,Suppress expensive offers,2,Behavioral tier 5
314,D4,Grow basket or category,3,Low-cost nurture
315,D10,Suppress expensive offers,2,Behavioral tier 5
316,D8,Suppress expensive offers,4,Behavioral tier 4
317,D2,Grow basket or category,3,Low-cost nurture
318,D7,Low-cost nurture,0,Growth: upsell
319,D4,Grow basket or category,1,VIP retention
320,D9,Suppress expensive offers,2,Behavioral tier 5
321,D2,Grow basket or category,0,Growth: upsell
322,D5,Low-cost nurture,3,Low-cost nurture
323,D10,Suppress expensive offers,4,Behavioral tier 4
324,D1,VIP: retain and reward,1,VIP retention
325,D4,Grow basket or category,4,Behavioral tier 4
326,D9,Suppress expensive offers,4,Behavioral tier 4
327,D10,Suppress expensive offers,2,Behavioral tier 5
328,D1,VIP: retain and reward,1,VIP retention
329,D4,Grow basket or category,0,Growth: upsell
330,D6,Low-cost nurture,0,Growth: upsell
331,D7,Low-cost nurture,4,Behavioral tier 4
332,D2,Grow basket or category,0,Growth: upsell
333,D7,Low-cost nurture,4,Behavioral tier 4
334,D3,Grow basket or category,0,Growth: upsell
335,D4,Grow basket or category,0,Growth: upsell
336,D4,Grow basket or category,3,Low-cost nurture
337,D8,Suppress expensive offers,4,Behavioral tier 4
338,D5,Low-cost nurture,1,VIP retention
339,D6,Low-cost nurture,4,Behavioral tier 4
340,D8,Suppress expensive offers,4,Behavioral tier 4
341,D9,Suppress expensive offers,2,Behavioral tier 5
342,D6,Low-cost nurture,4,Behavioral tier 4
343,D6,Low-cost nurture,0,Growth: upsell
344,D5,Low-cost nurture,3,Low-cost nurture
345,D2,Grow basket or category,0,Growth: upsell
346,D2,Grow basket or category,0,Growth: upsell
347,D9,Suppress expensive offers,2,Behavioral tier 5
348,D4,Grow basket or category,0,Growth: upsell
349,D8,Suppress expensive offers,4,Behavioral tier 4
350,D4,Grow basket or category,1,VIP retention
351,D1,VIP: retain and reward,1,VIP retention
352,D10,Suppress expensive offers,2,Behavioral tier 5
353,D3,Grow basket or category,0,Growth: upsell
354,D1,VIP: retain and reward,1,VIP retention
355,D10,Suppress expensive offers,2,Behavioral tier 5
356,D4,Grow basket or category,0,Growth: upsell
357,D6,Low-cost nurture,4,Behavioral tier 4
358,D1,VIP: retain and reward,1,VIP retention
359,D10,Suppress expensive offers,2,Behavioral tier 5
360,D9,Suppress expensive offers,4,Behavioral tier 4
361,D1,VIP: retain and reward,1,VIP retention
362,D4,Grow basket or category,1,VIP retention
363,D10,Suppress expensive offers,2,Behavioral tier 5
364,D5,Low-cost nurture,0,Growth: upsell
365,D2,Grow basket or category,1,VIP retention
366,D9,Suppress expensive offers,4,Behavioral tier 4
367,D2,Grow basket or category,1,VIP retention
368,D7,Low-cost nurture,3,Low-cost nurture
369,D8,Suppress expensive offers,3,Low-cost nurture
370,D4,Grow basket or category,3,Low-cost nurture
371,D1,VIP: retain and reward,1,VIP retention
372,D9,Suppress expensive offers,2,Behavioral tier 5
373,D10,Suppress expensive offers,2,Behavioral tier 5
374,D2,Grow basket or category,1,VIP retention
375,D10,Suppress expensive offers,4,Behavioral tier 4
376,D3,Grow basket or category,0,Growth: upsell
377,D4,Grow basket or category,0,Growth: upsell
378,D3,Grow basket or category,1,VIP retention
379,D10,Suppress expensive offers,2,Behavioral tier 5
380,D1,VIP: retain and reward,0,Growth: upsell
381,D4,Grow basket or category,0,Growth: upsell
382,D9,Suppress expensive offers,3,Low-cost nurture
383,D2,Grow basket or category,1,VIP retention
384,D3,Grow basket or category,1,VIP retention
385,D4,Grow basket or category,3,Low-cost nurture
386,D3,Grow basket or category,0,Growth: upsell
387,D2,Grow basket or category,0,Growth: upsell
388,D7,Low-cost nurture,4,Behavioral tier 4
389,D1,VIP: retain and reward,1,VIP retention
390,D6,Low-cost nurture,0,Growth: upsell
391,D7,Low-cost nurture,2,Behavioral tier 5
392,D1,VIP: retain and reward,1,VIP retention
393,D3,Grow basket or category,0,Growth: upsell
394,D7,Low-cost nurture,3,Low-cost nurture
395,D8,Suppress expensive offers,4,Behavioral tier 4
396,D6,Low-cost nurture,1,VIP retention
397,D2,Grow basket or category,1,VIP retention
398,D6,Low-cost nurture,0,Growth: upsell
399,D8,Suppress expensive offers,3,Low-cost nurture
400,D1,VIP: retain and reward,1,VIP retention
401,D5,Low-cost nurture,0,Growth: upsell
402,D5,Low-cost nurture,3,Low-cost nurture
403,D8,Suppress expensive offers,4,Behavioral tier 4
404,D2,Grow basket or category,1,VIP retention
405,D4,Grow basket or category,1,VIP retention
406,D6,Low-cost nurture,3,Low-cost nurture
407,D9,Suppress expensive offers,4,Behavioral tier 4
408,D5,Low-cost nurture,3,Low-cost nurture
409,D3,Grow basket or category,1,VIP retention
410,D8,Suppress expensive offers,0,Growth: upsell
411,D2,Grow basket or category,1,VIP retention
412,D5,Low-cost nurture,0,Growth: upsell
413,D2,Grow basket or category,1,VIP retention
414,D5,Low-cost nurture,0,Growth: upsell
415,D9,Suppress expensive offers,4,Behavioral tier 4
416,D5,Low-cost nurture,3,Low-cost nurture
417,D4,Grow basket or category,0,Growth: upsell
418,D2,Grow basket or category,1,VIP retention
419,D6,Low-cost nurture,3,Low-cost nurture
420,D6,Low-cost nurture,0,Growth: upsell
421,D2,Grow basket or category,1,VIP retention
422,D8,Suppress expensive offers,4,Behavioral tier 4
423,D10,Suppress expensive offers,2,Behavioral tier 5
424,D5,Low-cost nurture,3,Low-cost nurture
425,D2,Grow basket or category,0,Growth: upsell
426,D1,VIP: retain and reward,1,VIP retention
427,D8,Suppress expensive offers,3,Low-cost nurture
428,D4,Grow basket or category,0,Growth: upsell
429,D9,Suppress expensive offers,4,Behavioral tier 4
430,D5,Low-cost nurture,0,Growth: upsell
431,D9,Suppress expensive offers,4,Behavioral tier 4
432,D4,Grow basket or category,1,VIP retention
433,D8,Suppress expensive offers,4,Behavioral tier 4
434,D3,Grow basket or category,0,Growth: upsell
435,D6,Low-cost nurture,4,Behavioral tier 4
436,D5,Low-cost nurture,3,Low-cost nurture
437,D2,Grow basket or category,1,VIP retention
438,D3,Grow basket or category,0,Growth: upsell
439,D9,Suppress expensive offers,4,Behavioral tier 4
440,D10,Suppress expensive offers,2,Behavioral tier 5
441,D5,Low-cost nurture,0,Growth: upsell
442,D4,Grow basket or category,1,VIP retention
443,D5,Low-cost nurture,0,Growth: upsell
444,D7,Low-cost nurture,2,Behavioral tier 5
445,D5,Low-cost nurture,0,Growth: upsell
446,D10,Suppress expensive offers,2,Behavioral tier 5
447,D6,Low-cost nurture,0,Growth: upsell
448,D9,Suppress expensive offers,3,Low-cost nurture
449,D8,Suppress expensive offers,3,Low-cost nurture
450,D7,Low-cost nurture,3,Low-cost nurture
451,D5,Low-cost nurture,1,VIP retention
452,D8,Suppress expensive offers,4,Behavioral tier 4
453,D9,Suppress expensive offers,4,Behavioral tier 4
454,D1,VIP: retain and reward,0,Growth: upsell
455,D7,Low-cost nurture,4,Behavioral tier 4
456,D2,Grow basket or category,1,VIP retention
457,D9,Suppress expensive offers,4,Behavioral tier 4
458,D6,Low-cost nurture,0,Growth: upsell
459,D7,Low-cost nurture,0,Growth: upsell
460,D9,Suppress expensive offers,0,Growth: upsell
461,D9,Suppress expensive offers,4,Behavioral tier 4
462,D7,Low-cost nurture,0,Growth: upsell
463,D2,Grow basket or category,1,VIP retention
464,D4,Grow basket or category,0,Growth: upsell
465,D10,Suppress expensive offers,4,Behavioral tier 4
466,D9,Suppress expensive offers,2,Behavioral tier 5
467,D5,Low-cost nurture,0,Growth: upsell
468,D2,Grow basket or category,0,Growth: upsell
469,D1,VIP: retain and reward,1,VIP retention
470,D5,Low-cost nurture,1,VIP retention
471,D7,Low-cost nurture,3,Low-cost nurture
472,D1,VIP: retain and reward,1,VIP retention
473,D4,Grow basket or category,3,Low-cost nurture
474,D6,Low-cost nurture,4,Behavioral tier 4
475,D7,Low-cost nurture,4,Behavioral tier 4
476,D7,Low-cost nurture,4,Behavioral tier 4
477,D8,Suppress expensive offers,3,Low-cost nurture
478,D10,Suppress expensive offers,2,Behavioral tier 5
479,D6,Low-cost nurture,0,Growth: upsell
480,D4,Grow basket or category,1,VIP retention
481,D6,Low-cost nurture,3,Low-cost nurture
482,D6,Low-cost nurture,3,Low-cost nurture
483,D5,Low-cost nurture,0,Growth: upsell
484,D4,Grow basket or category,0,Growth: upsell
485,D2,Grow basket or category,1,VIP retention
486,D8,Suppress expensive offers,3,Low-cost nurture
487,D10,Suppress expensive offers,2,Behavioral tier 5
488,D9,Suppress expensive offers,2,Behavioral tier 5
489,D2,Grow basket or category,1,VIP retention
490,D3,Grow basket or category,4,Behavioral tier 4
491,D3,Grow basket or category,1,VIP retention
492,D2,Grow basket or category,1,VIP retention
493,D3,Grow basket or category,1,VIP retention
494,D10,Suppress expensive offers,2,Behavioral tier 5
495,D4,Grow basket or category,4,Behavioral tier 4
496,D9,Suppress expensive offers,2,Behavioral tier 5
497,D8,Suppress expensive offers,4,Behavioral tier 4
498,D8,Suppress expensive offers,4,Behavioral tier 4
499,D9,Suppress expensive offers,2,Behavioral tier 5
500,D10,Suppress expensive offers,2,Behavioral tier 5
501,D9,Suppress expensive offers,4,Behavioral tier 4
502,D5,Low-cost nurture,4,Behavioral tier 4
503,D3,Grow basket or category,1,VIP retention
504,D9,Suppress expensive offers,2,Behavioral tier 5
505,D10,Suppress expensive offers,4,Behavioral tier 4
506,D7,Low-cost nurture,3,Low-cost nurture
507,D7,Low-cost nurture,4,Behavioral tier 4
508,D7,Low-cost nurture,4,Behavioral tier 4
509,D10,Suppress expensive offers,2,Behavioral tier 5
510,D1,VIP: retain and reward,1,VIP retention
511,D2,Grow basket or category,1,VIP retention
512,D8,Suppress expensive offers,3,Low-cost nurture
513,D1,VIP: retain and reward,1,VIP retention
514,D5,Low-cost nurture,3,Low-cost nurture
515,D6,Low-cost nurture,4,Behavioral tier 4
516,D10,Suppress expensive offers,2,Behavioral tier 5
517,D4,Grow basket or category,1,VIP retention
518,D3,Grow basket or category,0,Growth: upsell
519,D8,Suppress expensive offers,4,Behavioral tier 4
520,D6,Low-cost nurture,0,Growth: upsell
521,D8,Suppress expensive offers,3,Low-cost nurture
522,D10,Suppress expensive offers,2,Behavioral tier 5
523,D2,Grow basket or category,1,VIP retention
524,D6,Low-cost nurture,3,Low-cost nurture
525,D8,Suppress expensive offers,4,Behavioral tier 4
526,D3,Grow basket or category,1,VIP retention
527,D4,Grow basket or category,0,Growth: upsell
528,D10,Suppress expensive offers,2,Behavioral tier 5
529,D6,Low-cost nurture,4,Behavioral tier 4
530,D7,Low-cost nurture,3,Low-cost nurture
531,D8,Suppress expensive offers,4,Behavioral tier 4
532,D9,Suppress expensive offers,2,Behavioral tier 5
533,D4,Grow basket or category,3,Low-cost nurture
534,D7,Low-cost nurture,0,Growth: upsell
535,D7,Low-cost nurture,4,Behavioral tier 4
536,D7,Low-cost nurture,0,Growth: upsell
537,D7,Low-cost nurture,3,Low-cost nurture
538,D3,Grow basket or category,3,Low-cost nurture
539,D7,Low-cost nurture,3,Low-cost nurture
540,D4,Grow basket or category,1,VIP retention
541,D6,Low-cost nurture,3,Low-cost nurture
542,D5,Low-cost nurture,0,Growth: upsell
543,D4,Grow basket or category,0,Growth: upsell
544,D7,Low-cost nurture,0,Growth: upsell
545,D5,Low-cost nurture,3,Low-cost nurture
546,D4,Grow basket or category,3,Low-cost nurture
547,D6,Low-cost nurture,4,Behavioral tier 4
548,D3,Grow basket or category,1,VIP retention
549,D5,Low-cost nurture,4,Behavioral tier 4
550,D8,Suppress expensive offers,4,Behavioral tier 4
551,D8,Suppress expensive offers,4,Behavioral tier 4
552,D5,Low-cost nurture,4,Behavioral tier 4
553,D2,Grow basket or category,1,VIP retention
554,D7,Low-cost nurture,3,Low-cost nurture
555,D9,Suppress expensive offers,2,Behavioral tier 5
556,D9,Suppress expensive offers,3,Low-cost nurture
557,D9,Suppress expensive offers,3,Low-cost nurture
558,D5,Low-cost nurture,0,Growth: upsell
559,D10,Suppress expensive offers,2,Behavioral tier 5
560,D2,Grow basket or category,1,VIP retention
561,D7,Low-cost nurture,3,Low-cost nurture
562,D4,Grow basket or category,3,Low-cost nurture
563,D5,Low-cost nurture,1,VIP retention
564,D8,Suppress expensive offers,3,Low-cost nurture
565,D9,Suppress expensive offers,3,Low-cost nurture
566,D7,Low-cost nurture,0,Growth: upsell
567,D4,Grow basket or category,0,Growth: upsell
568,D1,VIP: retain and reward,1,VIP retention
569,D2,Grow basket or category,1,VIP retention
570,D7,Low-cost nurture,4,Behavioral tier 4
