week,brand_counterfactual,true_effect,effect_pct
2025-02-10,1378095.94,0.0,0.0
2025-02-17,1453070.66,0.0,0.0
2025-02-24,1460145.18,0.0,0.0
2025-03-03,1390029.14,0.0,0.0
2025-03-10,1454724.26,0.0,0.0
2025-03-17,1423950.17,0.0,0.0
2025-03-24,1426916.64,0.0,0.0
2025-03-31,1398035.83,0.0,0.0
2025-04-07,1294166.87,0.0,0.0
2025-04-14,1233428.49,0.0,0.0
2025-04-21,1305413.12,0.0,0.0
2025-04-28,1386277.55,0.0,0.0
2025-05-05,1380359.51,0.0,0.0
2025-05-12,1261686.37,0.0,0.0
2025-05-19,1318596.54,0.0,0.0
2025-05-26,1217313.76,0.0,0.0
2025-06-02,1198914.91,0.0,0.0
2025-06-09,1209907.01,0.0,0.0
2025-06-16,1144186.98,0.0,0.0
2025-06-23,1199930.49,0.0,0.0
2025-06-30,1177176.22,0.0,0.0
2025-07-07,1194836.54,0.0,0.0
2025-07-14,1242120.29,0.0,0.0
2025-07-21,1259291.93,0.0,0.0
2025-07-28,1328233.0,0.0,0.0
2025-08-04,1256033.09,0.0,0.0
2025-08-11,1299623.56,0.0,0.0
2025-08-18,1305279.73,0.0,0.0
2025-08-25,1323672.52,0.0,0.0
2025-09-01,1299026.6,77941.6,0.06
2025-09-08,1293459.43,155215.13,0.12
2025-09-15,1442420.13,173090.42,0.12
2025-09-22,1395083.53,167410.02,0.12
2025-09-29,1474501.37,176940.16,0.12
2025-10-06,1474951.03,176994.12,0.12
2025-10-13,1471504.6,176580.55,0.12
2025-10-20,1554216.04,186505.92,0.12
2025-10-27,1644737.49,123355.31,0.075
2025-11-03,1730741.66,86537.08,0.05
2025-11-10,1642641.67,49279.25,0.03
2025-11-17,1576991.17,23654.87,0.015
2025-11-24,1579948.97,-47398.47,-0.03
2025-12-01,1524972.75,-45749.18,-0.03
2025-12-08,1539125.56,-46173.77,-0.03
2025-12-15,1467320.05,-44019.6,-0.03
2025-12-22,1473298.18,-44198.95,-0.03
2025-12-29,1441842.29,-43255.27,-0.03
2026-01-05,1504273.77,-45128.21,-0.03
2026-01-12,1523736.08,-45712.08,-0.03
2026-01-19,1470422.47,-44112.67,-0.03
2026-01-26,1459340.19,-43780.21,-0.03
2026-02-02,1391569.57,0.0,0.0
2026-02-09,1432033.91,0.0,0.0
2026-02-16,1444646.56,0.0,0.0
2026-02-23,1431927.81,0.0,0.0
2026-03-02,1409237.46,0.0,0.0
2026-03-09,1360716.66,0.0,0.0
