week,brand_sales,category_index,sibling_line,campaign
2023-03-13,1229592.3,103.2061,421581.94,0
2023-03-20,1241810.65,103.8654,411045.77,0
2023-03-27,1188617.06,102.911,409633.09,0
2023-04-03,1206498.26,99.4601,398272.02,0
2023-04-10,1145256.95,97.1134,384171.19,0
2023-04-17,1133202.09,92.5094,390775.56,0
2023-04-24,1139653.56,93.5799,401404.76,0
2023-05-01,1146037.56,91.4228,367602.99,0
2023-05-08,1140874.03,91.4027,380068.12,0
2023-05-15,1176197.79,93.2166,401960.5,0
2023-05-22,1162600.14,94.3341,409955.72,0
2023-05-29,1111619.94,95.0381,414584.33,0
2023-06-05,1111149.62,92.6033,396139.03,0
2023-06-12,1066493.42,92.0404,373326.32,0
2023-06-19,1069144.88,91.7497,363755.0,0
2023-06-26,1061993.0,86.2858,362260.61,0
2023-07-03,1024077.71,82.8358,356714.94,0
2023-07-10,977322.74,82.2509,362809.77,0
2023-07-17,964065.68,82.2663,364456.24,0
2023-07-24,1035702.5,85.0873,367400.14,0
2023-07-31,1019965.31,86.3597,350914.9,0
2023-08-07,1054781.4,89.3064,365336.03,0
2023-08-14,1170529.87,95.6625,401493.48,0
2023-08-21,1221183.63,98.1606,404502.79,0
2023-08-28,1282505.73,101.6747,417252.74,0
2023-09-04,1199097.23,103.8517,424806.86,0
2023-09-11,1271848.58,106.7659,424801.15,0
2023-09-18,1275566.9,104.7261,418957.18,0
2023-09-25,1311075.85,106.819,437897.47,0
2023-10-02,1419939.79,108.9746,451495.82,0
2023-10-09,1276116.15,105.3411,443428.84,0
2023-10-16,1338184.99,110.4822,460718.66,0
2023-10-23,1406619.51,112.2039,448374.96,0
2023-10-30,1340858.47,113.1221,447862.72,0
2023-11-06,1361873.56,111.0878,462351.05,0
2023-11-13,1373372.86,109.4666,438510.84,0
2023-11-20,1370783.11,107.8301,411402.98,0
2023-11-27,1352270.51,110.4726,413095.35,0
2023-12-04,1382263.34,112.695,441017.06,0
2023-12-11,1463423.1,114.8623,468081.45,0
2023-12-18,1413135.47,113.4547,459414.29,0
2023-12-25,1348164.02,110.932,461790.71,0
2024-01-01,1347984.66,107.3246,410121.18,0
2024-01-08,1316146.79,106.7031,440134.48,0
2024-01-15,1370579.24,111.1379,480273.74,0
2024-01-22,1386846.49,112.3398,451085.76,0
2024-01-29,1394504.13,113.368,449917.09,0
2024-02-05,1454258.11,116.0812,455007.75,0
2024-02-12,1325865.69,107.3308,429390.27,0
2024-02-19,1298472.65,106.2572,425309.55,0
2024-02-26,1302227.33,102.0948,439579.81,0
2024-03-04,1243239.77,102.9081,448821.76,0
2024-03-11,1178513.33,97.1956,407242.49,0
2024-03-18,1235490.83,99.5642,441058.31,0
2024-03-25,1251952.58,100.2064,420030.91,0
2024-04-01,1181716.48,96.2726,420219.16,0
2024-04-08,1179597.87,93.6822,391969.01,0
2024-04-15,1200183.59,93.2023,396179.54,0
2024-04-22,1233680.15,97.6695,408768.19,0
2024-04-29,1292506.7,101.6847,469138.35,0
2024-05-06,1422116.16,109.3322,474271.42,0
2024-05-13,1334607.56,105.2539,435661.71,0
2024-05-20,1195427.12,100.9316,428024.33,0
2024-05-27,1167866.57,91.909,383774.22,0
2024-06-03,1142695.38,91.4295,379310.96,0
2024-06-10,1113868.69,90.5706,385144.37,0
2024-06-17,1131749.59,89.6922,375348.0,0
2024-06-24,1060790.68,87.7688,372467.62,0
2024-07-01,1061143.12,90.3706,372350.67,0
2024-07-08,1102868.46,93.3748,391923.15,0
2024-07-15,1137527.04,94.8956,399409.28,0
2024-07-22,1184013.96,95.9642,371734.75,0
2024-07-29,1181147.43,93.6995,391631.38,0
2024-08-05,1148943.32,92.072,368437.05,0
2024-08-12,1133752.72,93.2627,365348.86,0
2024-08-19,1141619.96,96.5873,392655.23,0
2024-08-26,1304425.98,107.7437,432420.06,0
2024-09-02,1340791.77,108.0963,432704.19,0
2024-09-09,1437277.32,110.8787,472380.82,0
2024-09-16,1451225.93,115.0755,443828.72,0
2024-09-23,1409905.95,115.1175,441281.07,0
2024-09-30,1411020.04,110.906,436187.46,0
2024-10-07,1399568.07,107.9391,443468.64,0
2024-10-14,1533010.25,118.9864,486957.93,0
2024-10-21,1463921.06,116.7999,459212.58,0
2024-10-28,1515191.93,120.6464,494421.55,0
2024-11-04,1483922.88,115.8803,477185.54,0
2024-11-11,1550933.91,121.1795,456456.45,0
2024-11-18,1524581.88,122.0932,446731.24,0
2024-11-25,1519804.55,117.5275,468155.77,0
2024-12-02,1482413.41,118.2684,467872.58,0
2024-12-09,1436132.54,117.06,458175.17,0
2024-12-16,1473006.58,115.9973,462669.05,0
2024-12-23,1361824.34,112.02,456973.71,0
2024-12-30,1299432.49,106.9506,450442.77,0
2025-01-06,1242465.25,103.5885,408932.21,0
2025-01-13,1233743.42,102.4217,405098.14,0
2025-01-20,1340488.34,109.5217,423046.13,0
2025-01-27,1391124.61,109.054,442210.17,0
2025-02-03,1363189.55,110.6449,458078.23,0
2025-02-10,1378095.94,109.3358,440791.92,0
2025-02-17,1453070.66,114.7541,416511.7,0
2025-02-24,1460145.18,111.0329,415032.99,0
2025-03-03,1390029.14,109.6249,419202.35,0
2025-03-10,1454724.26,112.2808,436377.05,0
2025-03-17,1423950.17,110.5348,440192.12,0
2025-03-24,1426916.64,114.5173,459584.68,0
2025-03-31,1398035.83,114.0803,449283.84,0
2025-04-07,1294166.87,106.308,445374.01,0
2025-04-14,1233428.49,98.655,405584.16,0
2025-04-21,1305413.12,104.427,413374.9,0
2025-04-28,1386277.55,107.1453,442609.77,0
2025-05-05,1380359.51,104.3437,406568.36,0
2025-05-12,1261686.37,101.3505,414229.12,0
2025-05-19,1318596.54,102.0104,425338.05,0
2025-05-26,1217313.76,96.0921,401746.23,0
2025-06-02,1198914.91,94.4833,409292.85,0
2025-06-09,1209907.01,95.406,392143.55,0
2025-06-16,1144186.98,91.3663,413910.72,0
2025-06-23,1199930.49,94.2531,392586.8,0
2025-06-30,1177176.22,94.4256,372030.91,0
2025-07-07,1194836.54,95.1625,389647.34,0
2025-07-14,1242120.29,99.0812,395561.72,0
2025-07-21,1259291.93,102.0141,398885.38,0
2025-07-28,1328233.0,104.9514,425267.19,0
2025-08-04,1256033.09,101.9975,412619.63,0
2025-08-11,1299623.56,102.8484,407101.55,0
2025-08-18,1305279.73,102.2717,424698.12,0
2025-08-25,1323672.52,100.6328,429143.3,0
2025-09-01,1376968.2,102.3203,438257.33,1
2025-09-08,1448674.57,105.1786,438057.61,1
2025-09-15,1615510.54,112.8943,472674.58,1
2025-09-22,1562493.55,108.8594,419898.87,1
2025-09-29,1651441.54,111.5672,440641.97,1
2025-10-06,1651945.16,112.1327,437953.0,1
2025-10-13,1648085.15,114.8366,455261.02,1
2025-10-20,1740721.96,121.9415,468378.08,1
2025-10-27,1768092.81,122.3012,481972.76,0
2025-11-03,1817278.74,126.3623,534585.72,0
2025-11-10,1691920.92,125.2467,503492.02,0
2025-11-17,1600646.04,120.8291,491870.18,0
2025-11-24,1532550.5,120.5931,475965.16,0
2025-12-01,1479223.56,116.627,477814.67,0
2025-12-08,1492951.79,116.8212,475147.88,0
2025-12-15,1423300.45,112.0215,463061.16,0
2025-12-22,1429099.24,109.8866,475034.9,0
2025-12-29,1398587.03,111.1638,486509.89,0
2026-01-05,1459145.55,119.1468,498109.08,0
2026-01-12,1478024.0,124.007,511186.15,0
2026-01-19,1426309.8,119.9105,460053.32,0
2026-01-26,1415559.99,115.589,457374.85,0
2026-02-02,1391569.57,107.8882,451946.66,0
2026-02-09,1432033.91,106.5109,447739.27,0
2026-02-16,1444646.56,109.309,443864.03,0
2026-02-23,1431927.81,111.0611,465420.84,0
2026-03-02,1409237.46,107.1993,449192.34,0
2026-03-09,1360716.66,106.3216,448783.03,0
