week,sales,fiscal_year,fiscal_week,holiday_week,bau_promotion
2017-07-24,192265.0,2017,30,0,0
2017-07-31,186563.0,2017,31,0,0
2017-08-07,192608.0,2017,32,0,0
2017-08-14,190339.0,2017,33,0,0
2017-08-21,190776.0,2017,34,0,0
2017-08-28,189428.0,2017,35,0,0
2017-09-04,191135.0,2017,36,0,0
2017-09-11,193093.0,2017,37,0,0
2017-09-18,193136.0,2017,38,0,1
2017-09-25,189032.0,2017,39,0,0
2017-10-02,184146.0,2017,40,0,0
2017-10-09,179068.0,2017,41,0,0
2017-10-16,185267.0,2017,42,0,0
2017-10-23,189186.0,2017,43,0,0
2017-10-30,186896.0,2017,44,0,0
2017-11-06,194459.0,2017,45,0,0
2017-11-13,177134.0,2017,46,0,0
2017-11-20,274272.0,2017,47,1,1
2017-11-27,215936.0,2017,48,1,1
2017-12-04,190534.0,2017,49,0,1
2017-12-11,228199.0,2017,50,1,1
2017-12-18,202840.0,2017,51,1,0
2017-12-25,139943.0,2017,52,1,0
2018-01-01,164053.0,2018,1,1,0
2018-01-08,165806.0,2018,2,0,0
2018-01-15,159465.0,2018,3,0,0
2018-01-22,167224.0,2018,4,0,0
2018-01-29,170000.0,2018,5,0,0
2018-02-05,172281.0,2018,6,0,0
2018-02-12,175070.0,2018,7,0,0
2018-02-19,178939.0,2018,8,0,0
2018-02-26,185759.0,2018,9,0,0
2018-03-05,217571.0,2018,10,0,0
2018-03-12,175629.0,2018,11,0,0
2018-03-19,175766.0,2018,12,0,0
2018-03-26,186181.0,2018,13,0,0
2018-04-02,198601.0,2018,14,0,0
2018-04-09,196395.0,2018,15,0,0
2018-04-16,183533.0,2018,16,0,0
2018-04-23,182815.0,2018,17,0,0
2018-04-30,189024.0,2018,18,0,0
2018-05-07,211502.0,2018,19,0,1
2018-05-14,215031.0,2018,20,0,1
2018-05-21,201571.0,2018,21,0,0
2018-05-28,201045.0,2018,22,0,0
2018-06-04,210752.0,2018,23,0,0
2018-06-11,204016.0,2018,24,0,0
2018-06-18,197601.0,2018,25,0,0
2018-06-25,202757.0,2018,26,0,0
2018-07-02,191559.0,2018,27,0,0
2018-07-09,199092.0,2018,28,0,0
2018-07-16,199264.0,2018,29,0,0
2018-07-23,197772.0,2018,30,0,0
2018-07-30,209787.0,2018,31,0,0
2018-08-06,198758.0,2018,32,0,0
2018-08-13,211660.0,2018,33,0,0
2018-08-20,202366.0,2018,34,0,0
2018-08-27,190985.0,2018,35,0,0
2018-09-03,195179.0,2018,36,0,0
2018-09-10,190026.0,2018,37,0,0
2018-09-17,206857.0,2018,38,0,1
2018-09-24,196918.0,2018,39,0,0
2018-10-01,201904.0,2018,40,0,0
2018-10-08,197465.0,2018,41,0,0
2018-10-15,205459.0,2018,42,0,0
2018-10-22,210382.0,2018,43,0,0
2018-10-29,215067.0,2018,44,0,0
2018-11-05,210576.0,2018,45,0,0
2018-11-12,221345.0,2018,46,0,0
2018-11-19,287741.0,2018,47,1,1
2018-11-26,276006.0,2018,48,1,1
2018-12-03,188274.0,2018,49,0,1
2018-12-10,242861.0,2018,50,1,1
2018-12-17,229248.0,2018,51,1,0
2018-12-24,131747.0,2018,52,1,0
2018-12-31,187104.0,2019,1,1,0
2019-01-07,190404.0,2019,2,0,0
2019-01-14,188606.0,2019,3,0,0
2019-01-21,183566.0,2019,4,0,0
2019-01-28,182853.0,2019,5,0,0
2019-02-04,183546.0,2019,6,0,0
2019-02-11,186812.0,2019,7,0,0
2019-02-18,194323.0,2019,8,0,0
2019-02-25,202944.0,2019,9,0,0
2019-03-04,199197.0,2019,10,0,0
2019-03-11,201306.0,2019,11,0,0
2019-03-18,191883.0,2019,12,0,0
2019-03-25,195759.0,2019,13,0,0
2019-04-01,207366.0,2019,14,0,0
2019-04-08,213351.0,2019,15,0,0
2019-04-15,211820.0,2019,16,0,0
2019-04-22,218983.0,2019,17,0,0
2019-04-29,221778.0,2019,18,0,0
2019-05-06,253601.0,2019,19,0,1
2019-05-13,243735.0,2019,20,0,1
2019-05-20,217095.0,2019,21,0,0
2019-05-27,218780.0,2019,22,0,0
2019-06-03,196206.0,2019,23,0,0
2019-06-10,206851.0,2019,24,0,0
2019-06-17,185289.0,2019,25,0,0
2019-06-24,186775.0,2019,26,0,0
2019-07-01,200222.0,2019,27,0,0
2019-07-08,207771.0,2019,28,0,0
2019-07-15,200681.0,2019,29,0,0
2019-07-22,199353.0,2019,30,0,0
2019-07-29,212710.0,2019,31,0,0
2019-08-05,206176.0,2019,32,0,0
2019-08-12,223176.0,2019,33,0,0
2019-08-19,213973.0,2019,34,0,0
2019-08-26,213380.0,2019,35,0,0
2019-09-02,222075.0,2019,36,0,0
2019-09-09,217119.0,2019,37,0,0
2019-09-16,228458.0,2019,38,0,1
2019-09-23,208678.0,2019,39,0,0
2019-09-30,209458.0,2019,40,0,0
2019-10-07,201388.0,2019,41,0,0
2019-10-14,205047.0,2019,42,0,0
2019-10-21,202683.0,2019,43,0,0
2019-10-28,213251.0,2019,44,0,0
2019-11-04,212352.0,2019,45,0,0
2019-11-11,206773.0,2019,46,0,0
2019-11-18,216679.0,2019,47,0,1
2019-11-25,338907.0,2019,48,1,1
2019-12-02,297748.0,2019,49,1,1
2019-12-09,266076.0,2019,50,1,1
2019-12-16,258542.0,2019,51,1,0
2019-12-23,156474.0,2019,52,1,0
