geo,week,spend,revenue
Geo 02,2022-04-18,10119.51,86462.35
Geo 02,2022-04-25,10774.69,85229.9
Geo 02,2022-05-02,10347.5,85841.94
Geo 02,2022-05-09,9975.04,87561.57
Geo 02,2022-05-16,10361.42,86621.46
Geo 02,2022-05-23,10459.19,87250.35
Geo 02,2022-05-30,9468.02,85162.08
Geo 02,2022-06-06,9809.99,83961.59
Geo 02,2022-06-13,8974.25,81618.18
Geo 02,2022-06-20,9195.3,81421.44
Geo 02,2022-06-27,9138.68,80478.64
Geo 02,2022-07-04,9437.17,78817.04
Geo 02,2022-07-11,9580.9,78024.53
Geo 02,2022-07-18,9872.88,77698.22
Geo 02,2022-07-25,9302.04,76309.91
Geo 02,2022-08-01,8741.46,75037.07
Geo 02,2022-08-08,8839.83,72581.44
Geo 02,2022-08-15,8565.25,73609.05
Geo 02,2022-08-22,8647.76,72297.17
Geo 02,2022-08-29,8745.34,72127.58
Geo 02,2022-09-05,9060.51,71810.85
Geo 02,2022-09-12,9075.67,73552.08
Geo 02,2022-09-19,8682.89,74905.12
Geo 02,2022-09-26,8992.76,72760.19
Geo 02,2022-10-03,8875.97,71204.87
Geo 02,2022-10-10,9191.84,71461.7
Geo 02,2022-10-17,8658.32,74591.22
Geo 02,2022-10-24,9154.62,76258.59
Geo 02,2022-10-31,9189.91,76945.85
Geo 02,2022-11-07,9188.56,76601.06
Geo 02,2022-11-14,9164.33,78067.63
Geo 02,2022-11-21,9415.84,76058.25
Geo 02,2022-11-28,9334.98,76358.45
Geo 02,2022-12-05,9787.58,76574.37
Geo 02,2022-12-12,9661.75,76687.91
Geo 02,2022-12-19,10462.1,76886.7
Geo 02,2022-12-26,10351.2,73640.35
Geo 02,2023-01-02,10729.88,74050.3
Geo 02,2023-01-09,10255.58,75305.43
Geo 02,2023-01-16,10800.11,75614.75
Geo 02,2023-01-23,10843.21,77955.75
Geo 02,2023-01-30,11201.25,79644.99
Geo 02,2023-02-06,11590.14,79316.66
Geo 02,2023-02-13,11377.69,81307.13
Geo 02,2023-02-20,11150.59,81318.76
Geo 02,2023-02-27,11438.42,79861.42
Geo 02,2023-03-06,11666.42,80615.52
Geo 02,2023-03-13,11597.08,84776.36
Geo 02,2023-03-20,11523.63,84011.54
Geo 02,2023-03-27,10796.95,85887.84
Geo 02,2023-04-03,11173.59,84733.01
Geo 02,2023-04-10,10853.8,87654.55
Geo 02,2023-04-17,11524.59,88588.97
Geo 02,2023-04-24,11010.98,88030.86
Geo 02,2023-05-01,11062.25,88160.11
Geo 02,2023-05-08,10403.27,90128.25
Geo 02,2023-05-15,10231.39,85580.33
Geo 02,2023-05-22,11021.18,88107.45
Geo 02,2023-05-29,10181.64,86133.53
Geo 02,2023-06-05,10224.27,85703.86
Geo 02,2023-06-12,10085.88,84061.55
Geo 02,2023-06-19,9894.09,81759.73
Geo 02,2023-06-26,9829.78,81357.5
Geo 02,2023-07-03,10933.18,81244.88
Geo 02,2023-07-10,9909.55,79549.37
Geo 02,2023-07-17,9727.36,76572.88
Geo 02,2023-07-24,9685.3,76093.17
Geo 02,2023-07-31,9157.4,77618.19
Geo 02,2023-08-07,9397.87,77098.18
Geo 02,2023-08-14,9048.75,77520.63
Geo 02,2023-08-21,9448.82,75957.82
Geo 02,2023-08-28,9413.84,75069.06
Geo 02,2023-09-04,9521.1,75267.69
Geo 02,2023-09-11,9695.51,74475.03
Geo 02,2023-09-18,9467.83,75253.32
Geo 02,2023-09-25,9720.47,73134.3
Geo 02,2023-10-02,9537.3,74333.74
Geo 02,2023-10-09,9537.7,77175.24
Geo 02,2023-10-16,9623.34,78109.29
Geo 02,2023-10-23,9715.69,77954.31
Geo 02,2023-10-30,9423.27,78590.66
Geo 02,2023-11-06,10197.81,79614.42
Geo 02,2023-11-13,10196.85,79548.83
Geo 02,2023-11-20,10208.63,80095.21
Geo 02,2023-11-27,10146.15,81202.8
Geo 02,2023-12-04,10208.93,82117.96
Geo 02,2023-12-11,10396.02,82058.35
Geo 02,2023-12-18,10666.36,82848.15
Geo 02,2023-12-25,10885.83,83239.72
Geo 02,2024-01-01,11423.33,82313.17
Geo 02,2024-01-08,10612.1,80958.84
Geo 02,2024-01-15,11237.63,82062.26
Geo 02,2024-01-22,11249.25,83653.04
Geo 02,2024-01-29,11420.22,85988.07
Geo 02,2024-02-05,8319.31,84904.83
Geo 02,2024-02-12,7922.4,83955.9
Geo 02,2024-02-19,8018.48,85460.27
Geo 02,2024-02-26,7672.25,84593.23
Geo 02,2024-03-04,7950.48,84579.42
Geo 02,2024-03-11,8200.25,86757.27
Geo 02,2024-03-18,8223.56,86858.12
Geo 02,2024-03-25,8331.04,86103.02
Geo 03,2022-04-04,11626.06,100243.15
Geo 03,2022-04-11,11671.54,103115.93
Geo 03,2022-04-18,12078.73,101873.94
Geo 03,2022-04-25,12306.85,104565.74
Geo 03,2022-05-02,11707.57,107145.65
Geo 03,2022-05-09,11415.6,105175.21
Geo 03,2022-05-16,11296.85,104967.41
Geo 03,2022-05-23,11983.71,105111.73
Geo 03,2022-05-30,12360.42,103368.94
Geo 03,2022-06-06,11306.63,101941.79
Geo 03,2022-06-13,11560.67,100150.54
Geo 03,2022-06-20,11720.0,99336.84
Geo 03,2022-06-27,11599.53,96514.56
Geo 03,2022-07-04,12217.96,95627.64
Geo 03,2022-07-11,11716.55,95787.26
Geo 03,2022-07-18,10677.76,92881.24
Geo 03,2022-07-25,11447.64,93429.25
Geo 03,2022-08-01,11509.05,93136.34
Geo 03,2022-08-08,10915.29,91047.05
Geo 03,2022-08-15,11182.87,89353.15
Geo 03,2022-08-22,10708.84,87285.38
Geo 03,2022-08-29,10113.42,88488.18
Geo 03,2022-09-05,10408.0,87851.13
Geo 03,2022-09-12,10584.39,89223.34
Geo 03,2022-09-19,10740.94,90548.08
Geo 03,2022-09-26,10634.91,91015.35
Geo 03,2022-10-03,11165.3,90086.4
Geo 03,2022-10-10,10817.04,89515.57
Geo 03,2022-10-17,10430.95,91420.5
Geo 03,2022-10-24,10999.19,92138.72
Geo 03,2022-10-31,10832.1,92885.12
Geo 03,2022-11-07,11610.78,91771.36
Geo 03,2022-11-14,11566.06,90983.76
Geo 03,2022-11-21,12195.06,91238.99
Geo 03,2022-11-28,11646.25,95697.43
Geo 03,2022-12-05,12257.76,94591.54
Geo 03,2022-12-12,11420.64,94572.04
Geo 03,2022-12-19,11433.85,96474.5
Geo 03,2022-12-26,11842.73,93087.72
Geo 03,2023-01-02,12448.88,97623.78
Geo 03,2023-01-09,12049.81,96662.86
Geo 03,2023-01-16,12422.1,95419.35
Geo 03,2023-01-23,11885.45,95116.74
Geo 03,2023-01-30,12126.66,96493.04
Geo 03,2023-02-06,12303.67,99508.91
Geo 03,2023-02-13,12722.05,99486.68
Geo 03,2023-02-20,12734.02,100385.56
Geo 03,2023-02-27,12740.62,103411.0
Geo 03,2023-03-06,12502.85,101690.11
Geo 03,2023-03-13,12921.44,103678.86
Geo 03,2023-03-20,13162.17,101750.07
Geo 03,2023-03-27,14076.14,101847.56
Geo 03,2023-04-03,13338.24,104296.06
Geo 03,2023-04-10,12728.31,107976.34
Geo 03,2023-04-17,12735.44,109785.91
Geo 03,2023-04-24,12731.05,109496.52
Geo 03,2023-05-01,12096.34,109635.88
Geo 03,2023-05-08,12001.37,107901.4
Geo 03,2023-05-15,12057.46,109893.36
Geo 03,2023-05-22,11888.09,108576.15
Geo 03,2023-05-29,12468.96,105992.74
Geo 03,2023-06-05,11720.47,105289.21
Geo 03,2023-06-12,11623.62,104620.32
Geo 03,2023-06-19,11678.44,102638.62
Geo 03,2023-06-26,12586.59,103016.93
Geo 03,2023-07-03,12127.95,99651.81
Geo 03,2023-07-10,11855.84,101606.65
Geo 03,2023-07-17,12074.09,99840.48
Geo 03,2023-07-24,11847.13,97676.04
Geo 03,2023-07-31,11408.28,96767.86
Geo 03,2023-08-07,11874.68,98589.18
Geo 03,2023-08-14,11713.13,94499.26
Geo 03,2023-08-21,11453.39,96045.49
Geo 03,2023-08-28,11448.28,97445.31
Geo 03,2023-09-04,11569.43,95007.3
Geo 03,2023-09-11,11507.13,94980.21
Geo 03,2023-09-18,11874.04,94812.6
Geo 03,2023-09-25,11634.94,93165.13
Geo 03,2023-10-02,11145.3,95343.77
Geo 03,2023-10-09,11431.3,96053.76
Geo 03,2023-10-16,11813.79,96776.81
Geo 03,2023-10-23,10955.18,97982.94
Geo 03,2023-10-30,11834.7,99045.64
Geo 03,2023-11-06,11627.48,99590.75
Geo 03,2023-11-13,11646.72,97087.55
Geo 03,2023-11-20,11751.27,99083.93
Geo 03,2023-11-27,11616.08,101850.47
Geo 03,2023-12-04,12017.39,102561.09
Geo 03,2023-12-11,12364.38,103225.53
Geo 03,2023-12-18,12971.6,103832.95
Geo 03,2023-12-25,12383.45,104135.26
Geo 03,2024-01-01,12978.12,106757.62
Geo 03,2024-01-08,12898.98,103801.45
Geo 03,2024-01-15,12678.17,102271.87
Geo 03,2024-01-22,13819.58,103671.64
Geo 03,2024-01-29,13188.58,107095.83
Geo 03,2024-02-05,13605.59,106589.8
Geo 03,2024-02-12,13230.03,108376.16
Geo 03,2024-02-19,14004.04,105690.65
Geo 03,2024-02-26,13893.07,105216.96
Geo 03,2024-03-04,13450.12,108197.38
Geo 03,2024-03-11,14260.96,110329.34
Geo 03,2024-03-18,13664.61,110536.11
Geo 03,2024-03-25,13481.61,110538.82
Geo 04,2022-04-04,11801.78,100272.85
Geo 04,2022-04-11,12388.0,99352.12
Geo 04,2022-04-18,12999.64,99812.92
Geo 04,2022-04-25,12292.2,100999.11
Geo 04,2022-05-02,11866.93,101194.36
Geo 04,2022-05-09,11796.56,104751.01
Geo 04,2022-05-16,12124.96,104937.68
Geo 04,2022-05-23,12299.41,102052.0
Geo 04,2022-05-30,11713.26,101905.28
Geo 04,2022-06-06,11616.01,98818.23
Geo 04,2022-06-13,11403.72,97397.74
Geo 04,2022-06-20,10886.99,98129.82
Geo 04,2022-06-27,11383.94,96799.64
Geo 04,2022-07-04,11360.19,94623.44
Geo 04,2022-07-11,10794.07,93962.53
Geo 04,2022-07-18,11585.76,95039.88
Geo 04,2022-07-25,10227.67,94400.94
Geo 04,2022-08-01,10571.67,93480.65
Geo 04,2022-08-08,10940.21,91088.53
Geo 04,2022-08-15,11264.82,92092.21
Geo 04,2022-08-22,10905.84,90050.14
Geo 04,2022-08-29,11070.82,87918.61
Geo 04,2022-09-05,10600.78,88040.59
Geo 04,2022-09-12,10438.42,89191.6
Geo 04,2022-09-19,10564.3,90865.51
Geo 04,2022-09-26,11205.9,89307.58
Geo 04,2022-10-03,11173.08,90178.62
Geo 04,2022-10-10,11395.51,90210.77
Geo 04,2022-10-17,11084.47,91263.97
Geo 04,2022-10-24,11142.98,93256.71
Geo 04,2022-10-31,11345.63,92901.08
Geo 04,2022-11-07,11473.05,94312.54
Geo 04,2022-11-14,11597.56,94432.98
Geo 04,2022-11-21,10575.14,92484.0
Geo 04,2022-11-28,11547.13,95208.35
Geo 04,2022-12-05,11323.56,96223.88
Geo 04,2022-12-12,11058.49,93171.17
Geo 04,2022-12-19,12304.19,96034.15
Geo 04,2022-12-26,12223.07,97028.28
Geo 04,2023-01-02,12158.65,95884.84
Geo 04,2023-01-09,12338.57,95217.07
Geo 04,2023-01-16,13645.6,95408.21
Geo 04,2023-01-23,12863.81,94531.24
Geo 04,2023-01-30,12601.37,92633.56
Geo 04,2023-02-06,12661.57,96878.59
Geo 04,2023-02-13,13091.53,99793.19
Geo 04,2023-02-20,13026.19,101881.86
Geo 04,2023-02-27,12914.99,102911.9
Geo 04,2023-03-06,12770.4,102860.27
Geo 04,2023-03-13,13691.44,105657.47
Geo 04,2023-03-20,12658.45,105085.3
Geo 04,2023-03-27,12921.64,106544.59
Geo 04,2023-04-03,13760.88,107064.84
Geo 04,2023-04-10,14025.7,105832.76
Geo 04,2023-04-17,13000.6,108209.92
Geo 04,2023-04-24,13031.07,108991.79
Geo 04,2023-05-01,13434.46,109814.05
Geo 04,2023-05-08,13211.18,108561.0
Geo 04,2023-05-15,12768.33,108398.41
Geo 04,2023-05-22,12821.1,106682.53
Geo 04,2023-05-29,13115.5,106954.33
Geo 04,2023-06-05,12323.07,105376.77
Geo 04,2023-06-12,12426.52,106876.53
Geo 04,2023-06-19,12214.07,104581.82
Geo 04,2023-06-26,12022.87,101002.38
Geo 04,2023-07-03,11599.29,100978.44
Geo 04,2023-07-10,11760.77,102496.74
Geo 04,2023-07-17,11314.67,101716.16
Geo 04,2023-07-24,11038.62,101216.82
Geo 04,2023-07-31,10761.81,97521.09
Geo 04,2023-08-07,11439.2,94984.88
Geo 04,2023-08-14,11499.48,94259.72
Geo 04,2023-08-21,11640.0,91833.6
Geo 04,2023-08-28,11699.23,91923.81
Geo 04,2023-09-04,11111.58,94248.93
Geo 04,2023-09-11,11146.55,94974.15
Geo 04,2023-09-18,11261.18,96192.98
Geo 04,2023-09-25,11318.68,96329.51
Geo 04,2023-10-02,11643.42,95388.29
Geo 04,2023-10-09,11358.66,97957.63
Geo 04,2023-10-16,11261.84,97009.04
Geo 04,2023-10-23,12609.47,97082.29
Geo 04,2023-10-30,12461.04,95785.28
Geo 04,2023-11-06,11927.13,100613.8
Geo 04,2023-11-13,12233.07,101900.54
Geo 04,2023-11-20,12527.75,102038.28
Geo 04,2023-11-27,12674.53,101829.15
Geo 04,2023-12-04,12896.88,104693.42
Geo 04,2023-12-11,13029.31,102851.19
Geo 04,2023-12-18,13321.3,103244.1
Geo 04,2023-12-25,13236.97,104641.66
Geo 04,2024-01-01,13446.53,104969.78
Geo 04,2024-01-08,12931.31,105688.36
Geo 04,2024-01-15,13770.71,106620.74
Geo 04,2024-01-22,13810.32,104901.58
Geo 04,2024-01-29,13773.44,104702.82
Geo 04,2024-02-05,9323.4,106512.47
Geo 04,2024-02-12,10310.73,107126.0
Geo 04,2024-02-19,9838.17,107871.74
Geo 04,2024-02-26,9716.26,105298.38
Geo 04,2024-03-04,9954.0,106232.37
Geo 04,2024-03-11,9712.72,107850.23
Geo 04,2024-03-18,10300.53,106369.84
Geo 04,2024-03-25,9734.07,106900.79
Geo 05,2022-04-04,14837.17,120487.59
Geo 05,2022-04-11,14836.11,119186.09
Geo 05,2022-04-18,13846.73,119732.79
Geo 05,2022-04-25,14049.06,121374.32
Geo 05,2022-05-02,14650.88,121075.65
Geo 05,2022-05-09,14265.64,123139.25
Geo 05,2022-05-16,14701.72,120683.04
Geo 05,2022-05-23,13852.22,122203.4
Geo 05,2022-05-30,13635.2,117156.37
Geo 05,2022-06-06,13213.73,117531.05
Geo 05,2022-06-13,13234.69,113827.75
Geo 05,2022-06-20,12781.8,112717.04
Geo 05,2022-06-27,12890.64,111500.12
Geo 05,2022-07-04,12497.16,113053.57
Geo 05,2022-07-11,12613.0,111777.0
Geo 05,2022-07-18,13260.75,110776.77
Geo 05,2022-07-25,12573.63,110175.77
Geo 05,2022-08-01,12655.41,110709.07
Geo 05,2022-08-08,12804.54,109018.83
Geo 05,2022-08-15,12630.48,105450.4
Geo 05,2022-08-22,12367.35,102227.88
Geo 05,2022-08-29,11945.87,104094.4
Geo 05,2022-09-05,12431.69,106090.26
Geo 05,2022-09-12,12116.76,106023.92
Geo 05,2022-09-19,12152.91,106366.0
Geo 05,2022-09-26,12389.43,104698.79
Geo 05,2022-10-03,12148.92,102912.49
Geo 05,2022-10-10,12917.04,104746.8
Geo 05,2022-10-17,13309.44,108414.97
Geo 05,2022-10-24,13030.02,111178.69
Geo 05,2022-10-31,12888.61,111162.81
Geo 05,2022-11-07,13018.33,113058.67
Geo 05,2022-11-14,13181.35,110545.56
Geo 05,2022-11-21,12913.01,109511.61
Geo 05,2022-11-28,13062.92,112500.51
Geo 05,2022-12-05,13382.0,113672.02
Geo 05,2022-12-12,13402.65,112583.94
Geo 05,2022-12-19,14249.73,113259.1
Geo 05,2022-12-26,13719.42,114177.67
Geo 05,2023-01-02,13777.39,115836.34
Geo 05,2023-01-09,14666.52,115055.15
Geo 05,2023-01-16,14300.06,111991.4
Geo 05,2023-01-23,15826.12,112512.93
Geo 05,2023-01-30,15496.63,110465.76
Geo 05,2023-02-06,14815.8,117076.65
Geo 05,2023-02-13,15396.66,115733.73
Geo 05,2023-02-20,15104.75,116062.89
Geo 05,2023-02-27,14893.48,117666.48
Geo 05,2023-03-06,15569.02,121583.36
Geo 05,2023-03-13,15383.82,119440.9
Geo 05,2023-03-20,15541.9,117449.58
Geo 05,2023-03-27,15249.9,119054.25
Geo 05,2023-04-03,15418.65,121945.53
Geo 05,2023-04-10,14687.43,125218.89
Geo 05,2023-04-17,14941.1,125637.58
Geo 05,2023-04-24,14574.35,126659.79
Geo 05,2023-05-01,15451.21,126632.99
Geo 05,2023-05-08,14971.15,125385.2
Geo 05,2023-05-15,15029.51,125512.17
Geo 05,2023-05-22,15084.34,126904.53
Geo 05,2023-05-29,15164.82,121987.92
Geo 05,2023-06-05,15201.78,122062.43
Geo 05,2023-06-12,14746.69,124249.99
Geo 05,2023-06-19,13875.33,122181.47
Geo 05,2023-06-26,13213.89,119162.95
Geo 05,2023-07-03,13788.96,117449.13
Geo 05,2023-07-10,14030.74,117242.06
Geo 05,2023-07-17,13416.81,113205.26
Geo 05,2023-07-24,13036.86,112078.07
Geo 05,2023-07-31,13565.53,111621.09
Geo 05,2023-08-07,12929.82,109686.32
Geo 05,2023-08-14,14047.83,109899.52
Geo 05,2023-08-21,13016.59,108632.67
Geo 05,2023-08-28,12911.28,106370.2
Geo 05,2023-09-04,13091.37,111003.56
Geo 05,2023-09-11,12946.33,112736.14
Geo 05,2023-09-18,13404.78,112956.43
Geo 05,2023-09-25,13392.7,112449.94
Geo 05,2023-10-02,12407.3,114231.44
Geo 05,2023-10-09,12942.52,114070.95
Geo 05,2023-10-16,14020.78,116322.96
Geo 05,2023-10-23,14731.23,113615.52
Geo 05,2023-10-30,13840.96,114089.36
Geo 05,2023-11-06,13900.06,117505.78
Geo 05,2023-11-13,14099.74,117202.47
Geo 05,2023-11-20,14753.53,119034.4
Geo 05,2023-11-27,14130.67,118216.58
Geo 05,2023-12-04,15163.13,117675.46
Geo 05,2023-12-11,14793.1,118881.14
Geo 05,2023-12-18,15271.82,120840.73
Geo 05,2023-12-25,16094.62,118966.58
Geo 05,2024-01-01,15950.8,118374.05
Geo 05,2024-01-08,16799.8,116335.59
Geo 05,2024-01-15,16369.71,119577.77
Geo 05,2024-01-22,15326.97,122856.95
Geo 05,2024-01-29,15315.31,120888.28
Geo 05,2024-02-05,16061.38,123776.73
Geo 05,2024-02-12,17284.27,120788.58
Geo 05,2024-02-19,16033.95,126414.39
Geo 05,2024-02-26,16563.65,126903.7
Geo 05,2024-03-04,15114.97,125135.39
Geo 05,2024-03-11,15611.42,125980.7
Geo 05,2024-03-18,16213.56,129475.43
Geo 05,2024-03-25,16306.81,132768.13
Geo 06,2022-04-04,14126.31,119874.73
Geo 06,2022-04-11,13454.63,119883.73
Geo 06,2022-04-18,13806.78,120407.53
Geo 06,2022-04-25,13787.81,121008.49
Geo 06,2022-05-02,14033.52,121880.51
Geo 06,2022-05-09,13935.37,122175.42
Geo 06,2022-05-16,13915.49,121389.51
Geo 06,2022-05-23,13946.54,123298.83
Geo 06,2022-05-30,13647.1,120072.42
Geo 06,2022-06-06,13655.94,118350.46
Geo 06,2022-06-13,12927.66,113961.3
Geo 06,2022-06-20,13739.24,114518.97
Geo 06,2022-06-27,12868.01,112479.0
Geo 06,2022-07-04,12377.93,110735.19
Geo 06,2022-07-11,13107.34,108764.94
Geo 06,2022-07-18,13743.85,113203.93
Geo 06,2022-07-25,12725.39,107392.61
Geo 06,2022-08-01,11995.46,106783.95
Geo 06,2022-08-08,12574.55,108302.01
Geo 06,2022-08-15,12353.39,111019.64
Geo 06,2022-08-22,12650.71,105598.79
Geo 06,2022-08-29,12330.18,105128.89
Geo 06,2022-09-05,12140.44,105879.33
Geo 06,2022-09-12,13064.53,107982.16
Geo 06,2022-09-19,12595.74,104417.16
Geo 06,2022-09-26,11568.5,104358.47
Geo 06,2022-10-03,12020.91,104150.58
Geo 06,2022-10-10,12351.29,105338.2
Geo 06,2022-10-17,12582.54,110059.79
Geo 06,2022-10-24,13215.64,107891.72
Geo 06,2022-10-31,13572.7,108174.64
Geo 06,2022-11-07,13699.02,111758.76
Geo 06,2022-11-14,14286.46,110505.79
Geo 06,2022-11-21,13464.38,109990.9
Geo 06,2022-11-28,13209.01,108620.3
Geo 06,2022-12-05,13221.53,109412.5
Geo 06,2022-12-12,13674.09,113920.48
Geo 06,2022-12-19,14708.05,111754.69
Geo 06,2022-12-26,14096.13,110702.94
Geo 06,2023-01-02,14079.81,113498.18
Geo 06,2023-01-09,14398.48,111719.55
Geo 06,2023-01-16,13760.87,114287.53
Geo 06,2023-01-23,14646.57,115443.48
Geo 06,2023-01-30,14951.72,116228.01
Geo 06,2023-02-06,14883.07,113735.58
Geo 06,2023-02-13,15218.18,115386.61
Geo 06,2023-02-20,15074.46,118643.18
Geo 06,2023-02-27,14611.82,119636.92
Geo 06,2023-03-06,14962.01,117739.11
Geo 06,2023-03-13,15418.46,122602.77
Geo 06,2023-03-20,15991.19,122531.1
Geo 06,2023-03-27,15318.61,120788.18
Geo 06,2023-04-03,15588.43,123266.69
Geo 06,2023-04-10,15132.81,129148.42
Geo 06,2023-04-17,15226.74,127497.22
Geo 06,2023-04-24,15346.38,130229.8
Geo 06,2023-05-01,15019.17,127491.08
Geo 06,2023-05-08,14431.9,125706.25
Geo 06,2023-05-15,14985.17,125813.88
Geo 06,2023-05-22,14996.96,123952.96
Geo 06,2023-05-29,15009.12,127530.85
Geo 06,2023-06-05,13894.26,126833.91
Geo 06,2023-06-12,13549.47,124078.85
Geo 06,2023-06-19,14257.2,124793.29
Geo 06,2023-06-26,14545.85,121058.53
Geo 06,2023-07-03,13946.22,118867.03
Geo 06,2023-07-10,13233.12,117817.93
Geo 06,2023-07-17,13485.53,115709.64
Geo 06,2023-07-24,13341.35,113329.64
Geo 06,2023-07-31,13559.86,109543.84
Geo 06,2023-08-07,12719.7,110776.34
Geo 06,2023-08-14,13508.89,109281.68
Geo 06,2023-08-21,13149.61,111840.84
Geo 06,2023-08-28,12692.85,109331.49
Geo 06,2023-09-04,12641.16,110241.19
Geo 06,2023-09-11,13286.39,108604.69
Geo 06,2023-09-18,12952.41,113569.98
Geo 06,2023-09-25,12341.15,112312.16
Geo 06,2023-10-02,13172.68,110197.01
Geo 06,2023-10-09,13377.68,110319.81
Geo 06,2023-10-16,14276.01,113869.41
Geo 06,2023-10-23,14424.98,113204.61
Geo 06,2023-10-30,13316.53,113923.04
Geo 06,2023-11-06,14255.28,112826.46
Geo 06,2023-11-13,13578.79,111207.2
Geo 06,2023-11-20,15117.09,114880.68
Geo 06,2023-11-27,14707.92,113804.95
